date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-06-01,65.0,0.0,0.0,65.0,8.0,0.45
2015-06-01,65.0,0.0,0.0,65.0,25.0,0.4
2016-03-01,91.0,0.0,0.0,91.0,62.0,0.28
2017-03-01,64.0,0.0,0.0,64.0,38.0,0.34
2018-03-01,70.0,0.0,0.0,70.0,58.0,0.31
2019-03-01,71.0,0.0,0.0,71.0,44.0,0.31
2020-03-01,73.0,0.0,0.0,73.0,14.0,0.27
2021-03-01,85.0,0.0,0.0,85.0,48.0,0.26
2022-03-01,88.0,0.0,0.0,88.0,44.0,0.25
2023-03-01,92.0,0.0,0.0,92.0,43.0,0.28
2024-03-01,85.0,0.0,0.0,85.0,31.0,0.3
2025-03-01,81.0,0.0,0.0,81.0,17.0,0.32
