date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,22.0,0.0,0.0,22.0,-1669.0,0.16
2015-03-01,17.0,0.0,0.0,17.0,-741.0,0.15
2016-03-01,12.0,0.0,0.0,12.0,-341.0,0.14
2017-03-01,19.0,0.0,0.0,19.0,-301.0,0.14
2018-03-01,19.0,0.0,0.0,19.0,-750.0,0.13
2019-03-01,19.0,0.0,0.0,19.0,-644.0,0.13
2020-03-01,18.0,0.0,0.0,18.0,-417.0,0.11
2021-03-01,17.0,0.0,0.0,17.0,-490.0,0.1
2022-03-01,16.0,0.0,0.0,16.0,-493.0,0.1
2023-03-01,15.0,0.0,0.0,15.0,-444.0,0.11
2024-03-01,20.0,0.0,0.0,20.0,-406.0,0.12
2025-03-01,23.0,0.0,0.0,23.0,-374.0,0.11
