date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,59.0,273.0,92.0,239.0,93.0,0.19
2015-03-01,64.0,329.0,126.0,267.0,89.0,0.15
2016-03-01,62.0,273.0,106.0,230.0,-10.0,0.13
2017-03-01,65.0,239.0,108.0,196.0,99.0,0.07
2018-03-01,75.0,271.0,142.0,204.0,118.0,0.09
2019-03-01,93.0,250.0,123.0,220.0,132.0,0.11
2020-03-01,83.0,267.0,139.0,211.0,113.0,0.12
2021-03-01,66.0,232.0,103.0,195.0,94.0,0.17
2022-03-01,57.0,230.0,108.0,180.0,95.0,0.17
2023-03-01,65.0,228.0,112.0,181.0,113.0,0.18
2024-03-01,68.0,217.0,102.0,182.0,120.0,0.23
2025-03-01,73.0,231.0,116.0,188.0,128.0,0.23
