date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,44.0,47.0,55.0,36.0,23.0,0.12
2015-03-01,43.0,50.0,59.0,34.0,24.0,0.12
2016-03-01,36.0,49.0,66.0,19.0,16.0,0.09
2017-03-01,38.0,47.0,51.0,34.0,27.0,0.08
2018-03-01,37.0,51.0,55.0,33.0,8.0,0.07
2019-03-01,39.0,46.0,56.0,29.0,-3.0,0.1
2020-03-01,33.0,49.0,60.0,22.0,-8.0,0.14
2021-03-01,46.0,16.0,74.0,-12.0,-4.0,0.08
2022-03-01,44.0,21.0,79.0,-14.0,5.0,0.17
2023-03-01,49.0,17.0,82.0,-16.0,-1.0,0.14
2024-03-01,48.0,17.0,88.0,-23.0,-19.0,0.15
2025-03-01,51.0,16.0,72.0,-6.0,-6.0,0.17
