date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,13.0,13.0,46.0,-19.0,-33.0,0.0
2015-03-01,18.0,16.0,50.0,-16.0,-15.0,0.5
2016-03-01,16.0,14.0,51.0,-20.0,-12.0,0.54
2017-03-01,20.0,14.0,62.0,-29.0,-17.0,0.48
2018-03-01,16.0,16.0,56.0,-24.0,-15.0,0.45
2019-03-01,29.0,19.0,54.0,-5.0,6.0,0.39
2020-03-01,19.0,24.0,58.0,-15.0,-10.0,0.27
2021-03-01,27.0,30.0,88.0,-32.0,-21.0,0.24
2022-03-01,27.0,26.0,76.0,-23.0,-14.0,0.18
2023-03-01,29.0,27.0,73.0,-17.0,-7.0,0.23
2024-03-01,25.0,25.0,80.0,-30.0,-17.0,0.29
2025-03-01,30.0,27.0,77.0,-20.0,-11.0,0.3
