date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,90.0,271.0,100.0,261.0,32.0,0.25
2015-03-01,100.0,248.0,84.0,264.0,26.0,0.22
2016-03-01,97.0,248.0,88.0,257.0,34.0,0.19
2017-03-01,98.0,282.0,104.0,275.0,-14.0,0.09
2018-03-01,104.0,263.0,121.0,246.0,39.0,0.08
2019-03-01,94.0,273.0,111.0,256.0,65.0,0.13
2020-03-01,105.0,230.0,100.0,235.0,59.0,0.11
2021-03-01,95.0,273.0,109.0,259.0,57.0,0.16
2022-03-01,113.0,250.0,111.0,252.0,61.0,0.14
2023-03-01,107.0,232.0,108.0,231.0,84.0,0.27
2024-03-01,105.0,283.0,116.0,271.0,118.0,0.27
2025-03-01,101.0,260.0,97.0,264.0,69.0,0.23
