date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,84.0,0.0,0.0,84.0,47.0,0.45
2015-03-01,84.0,0.0,0.0,84.0,54.0,0.32
2016-03-01,80.0,0.0,0.0,80.0,58.0,0.27
2017-03-01,67.0,0.0,0.0,67.0,57.0,0.23
2018-03-01,77.0,0.0,0.0,77.0,42.0,0.24
2019-03-01,73.0,0.0,0.0,73.0,24.0,0.25
2020-03-01,75.0,0.0,0.0,75.0,35.0,0.22
2021-03-01,62.0,0.0,0.0,62.0,24.0,0.23
2022-03-01,98.0,0.0,0.0,98.0,29.0,0.26
2023-03-01,88.0,0.0,0.0,88.0,28.0,0.22
2024-03-01,80.0,0.0,0.0,80.0,23.0,0.12
2025-03-01,80.0,0.0,0.0,80.0,25.0,0.19
