date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,43.0,321.0,41.0,323.0,8.0,0.5
2015-03-01,42.0,375.0,50.0,367.0,0.0,0.52
2016-03-01,54.0,541.0,215.0,380.0,9.0,0.57
2017-03-01,58.0,0.0,0.0,58.0,-23.0,0.46
2018-03-01,27.0,0.0,0.0,27.0,-59.0,0.45
2019-03-01,20.0,0.0,0.0,20.0,-34.0,1.07
2020-03-01,55.0,0.0,0.0,55.0,25.0,0.72
2021-03-01,80.0,0.0,0.0,80.0,54.0,0.46
2022-03-01,38.0,0.0,0.0,38.0,-3.0,0.54
2023-03-01,34.0,0.0,0.0,34.0,-11.0,0.78
2024-03-01,33.0,0.0,0.0,33.0,25.0,0.64
2025-03-01,32.0,0.0,0.0,32.0,-14.0,0.48
