date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,233.0,325.0,120.0,438.0,89.0,0.18
2015-03-01,196.0,321.0,111.0,406.0,52.0,0.2
2016-03-01,185.0,401.0,112.0,473.0,8.0,0.2
2017-03-01,184.0,407.0,108.0,483.0,63.0,0.23
2018-03-01,176.0,305.0,91.0,390.0,125.0,0.25
2019-03-01,161.0,275.0,89.0,347.0,134.0,0.3
2020-03-01,189.0,204.0,126.0,267.0,119.0,0.26
2021-03-01,170.0,233.0,155.0,248.0,47.0,0.28
2022-03-01,145.0,230.0,139.0,237.0,4.0,0.27
2023-03-01,145.0,240.0,124.0,261.0,28.0,0.3
2024-03-01,133.0,257.0,128.0,262.0,18.0,0.35
2025-03-01,140.0,273.0,100.0,313.0,85.0,0.39
