date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,16.0,98.0,141.0,-26.0,-79.0,0.13
2015-03-01,17.0,136.0,175.0,-23.0,-58.0,0.1
2016-03-01,24.0,135.0,207.0,-48.0,-105.0,0.05
2017-03-01,27.0,147.0,172.0,2.0,-66.0,0.14
2018-03-01,24.0,118.0,149.0,-7.0,-36.0,0.18
2019-03-01,31.0,123.0,137.0,17.0,-63.0,0.2
2020-03-01,22.0,130.0,169.0,-17.0,-96.0,0.09
2021-03-01,21.0,160.0,171.0,9.0,-93.0,0.15
2022-03-01,19.0,208.0,190.0,36.0,-24.0,0.28
2023-03-01,16.0,130.0,149.0,-4.0,-50.0,0.08
2024-03-01,16.0,151.0,133.0,33.0,-29.0,0.13
2025-03-01,18.0,142.0,132.0,28.0,-19.0,0.08
