date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,13.0,86.0,170.0,-72.0,-54.0,1.47
2015-03-01,12.0,77.0,148.0,-60.0,-53.0,1.39
2016-03-01,14.0,75.0,156.0,-67.0,-26.0,1.12
2017-03-01,12.0,67.0,164.0,-85.0,-35.0,0.91
2018-03-01,13.0,65.0,185.0,-107.0,-37.0,1.03
2019-03-01,17.0,59.0,166.0,-90.0,-30.0,1.16
2020-03-01,11.0,65.0,176.0,-101.0,-31.0,1.17
2021-03-01,14.0,66.0,163.0,-83.0,-32.0,0.39
2022-03-01,16.0,65.0,145.0,-64.0,-22.0,0.25
2023-03-01,19.0,55.0,123.0,-50.0,-15.0,0.27
2024-03-01,18.0,55.0,143.0,-70.0,-22.0,0.27
2025-03-01,22.0,59.0,152.0,-71.0,-33.0,0.28
