date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,34.0,79.0,155.0,-43.0,-59.0,0.2
2015-03-01,43.0,65.0,175.0,-67.0,-30.0,0.13
2016-03-01,25.0,105.0,290.0,-161.0,-59.0,0.13
2017-03-01,16.0,65.0,51.0,30.0,-85.0,0.17
2018-03-01,16.0,56.0,48.0,24.0,-61.0,0.14
2019-03-01,13.0,48.0,41.0,21.0,-44.0,0.19
2020-03-01,8.0,46.0,31.0,23.0,-54.0,0.1
2021-03-01,19.0,85.0,51.0,54.0,-50.0,0.09
2022-03-01,14.0,90.0,66.0,39.0,-24.0,0.16
2023-03-01,11.0,61.0,46.0,27.0,-30.0,0.14
2024-03-01,12.0,87.0,61.0,38.0,-46.0,0.18
2025-03-01,13.0,99.0,64.0,47.0,-37.0,0.12
