date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,5.0,175.0,39.0,142.0,28.0,0.42
2015-03-01,6.0,169.0,81.0,94.0,59.0,0.35
2016-03-01,6.0,198.0,74.0,131.0,74.0,0.27
2017-03-01,6.0,189.0,30.0,165.0,42.0,0.23
2018-03-01,7.0,185.0,27.0,164.0,60.0,0.25
2019-03-01,8.0,178.0,23.0,163.0,55.0,0.26
2020-03-01,5.0,195.0,14.0,186.0,69.0,0.24
2021-03-01,6.0,187.0,18.0,176.0,36.0,0.13
2022-03-01,7.0,230.0,22.0,215.0,68.0,0.21
2023-03-01,6.0,199.0,15.0,191.0,51.0,0.25
2024-03-01,7.0,176.0,13.0,171.0,42.0,0.23
2025-03-01,6.0,217.0,15.0,208.0,35.0,0.19
