date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2013-12-01,27.0,41.0,94.0,-25.0,-31.0,0.22
2014-12-01,23.0,41.0,96.0,-31.0,-35.0,0.28
2016-03-01,2.0,33.0,77.0,-42.0,-47.0,0.51
2017-03-01,3.0,33.0,75.0,-40.0,-55.0,0.53
2018-03-01,3.0,31.0,92.0,-58.0,-64.0,0.49
2019-03-01,3.0,46.0,89.0,-40.0,-42.0,0.41
2020-03-01,3.0,42.0,74.0,-28.0,-44.0,0.25
2021-03-01,7.0,62.0,108.0,-39.0,-30.0,0.17
2022-03-01,11.0,69.0,110.0,-29.0,-15.0,0.18
2023-03-01,9.0,57.0,80.0,-14.0,-14.0,0.27
2024-03-01,8.0,57.0,85.0,-19.0,5.0,0.31
2025-03-01,11.0,55.0,90.0,-24.0,31.0,0.3
