date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,6.0,35.0,20.0,22.0,-5.0,0.16
2015-03-01,4.0,29.0,22.0,12.0,-19.0,0.17
2016-03-01,4.0,34.0,19.0,19.0,-18.0,0.25
2017-03-01,9.0,45.0,24.0,30.0,-31.0,0.24
2018-03-01,8.0,41.0,27.0,21.0,-19.0,0.21
2019-03-01,8.0,32.0,25.0,16.0,-13.0,0.18
2020-03-01,7.0,32.0,19.0,20.0,-30.0,0.09
2021-03-01,12.0,52.0,32.0,33.0,-33.0,0.18
2022-03-01,10.0,51.0,37.0,24.0,-29.0,0.16
2023-03-01,5.0,32.0,20.0,17.0,-20.0,0.07
2024-03-01,7.0,42.0,27.0,21.0,-21.0,0.32
2025-03-01,8.0,43.0,29.0,22.0,-27.0,0.16
