date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,6.0,37.0,49.0,-6.0,-25.0,0.59
2015-03-01,6.0,31.0,55.0,-17.0,-22.0,0.66
2016-03-01,7.0,32.0,56.0,-16.0,-5.0,0.68
2017-03-01,7.0,43.0,49.0,1.0,28.0,0.52
2018-03-01,11.0,39.0,59.0,-9.0,17.0,0.47
2019-03-01,13.0,43.0,63.0,-7.0,27.0,0.44
2020-03-01,10.0,39.0,55.0,-6.0,-1.0,0.37
2021-03-01,7.0,52.0,63.0,-3.0,-22.0,0.45
2022-03-01,9.0,57.0,55.0,10.0,-31.0,0.41
2023-03-01,7.0,45.0,55.0,-2.0,-31.0,0.49
2024-03-01,9.0,45.0,63.0,-9.0,-30.0,0.49
2025-03-01,9.0,43.0,60.0,-9.0,-23.0,0.53
