date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,31.0,174.0,88.0,117.0,66.0,0.09
2015-03-01,28.0,176.0,82.0,122.0,58.0,0.09
2016-03-01,33.0,164.0,68.0,128.0,64.0,0.04
2017-03-01,32.0,168.0,85.0,114.0,55.0,0.09
2018-03-01,35.0,143.0,70.0,108.0,59.0,0.09
2019-03-01,34.0,146.0,61.0,120.0,72.0,0.08
2020-03-01,35.0,115.0,64.0,87.0,47.0,0.09
2021-03-01,24.0,132.0,95.0,61.0,18.0,0.08
2022-03-01,25.0,132.0,111.0,45.0,34.0,0.09
2023-03-01,21.0,144.0,125.0,40.0,22.0,0.09
2024-03-01,22.0,140.0,136.0,25.0,-35.0,0.11
2025-03-01,18.0,152.0,148.0,22.0,0.0,0.09
