date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,8.0,57.0,61.0,4.0,-30.0,0.1
2015-03-01,5.0,66.0,74.0,-2.0,-64.0,0.09
2016-03-01,6.0,90.0,117.0,-21.0,-148.0,0.1
2017-03-01,10.0,84.0,132.0,-38.0,-179.0,0.1
2018-03-01,16.0,83.0,146.0,-46.0,-179.0,0.11
2019-03-01,19.0,63.0,100.0,-18.0,-108.0,0.12
2020-03-01,12.0,67.0,87.0,-9.0,-158.0,0.11
2021-03-01,15.0,102.0,136.0,-19.0,-58.0,0.08
2022-03-01,12.0,83.0,123.0,-27.0,-56.0,0.08
2023-03-01,12.0,87.0,91.0,7.0,-66.0,0.09
2024-03-01,13.0,95.0,111.0,-3.0,-53.0,0.1
2025-03-01,16.0,85.0,108.0,-8.0,-68.0,0.1
