date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,12.0,20.0,57.0,-25.0,-28.0,0.16
2015-03-01,8.0,28.0,57.0,-20.0,-26.0,0.19
2016-03-01,8.0,30.0,70.0,-32.0,-27.0,0.23
2017-03-01,6.0,25.0,65.0,-33.0,-36.0,0.24
2018-03-01,7.0,21.0,70.0,-42.0,-40.0,0.24
2019-03-01,10.0,20.0,59.0,-29.0,-30.0,0.19
2020-03-01,10.0,22.0,51.0,-20.0,-20.0,0.09
2021-03-01,7.0,22.0,73.0,-44.0,-50.0,0.11
2022-03-01,8.0,20.0,54.0,-26.0,-30.0,0.06
2023-03-01,10.0,18.0,50.0,-22.0,-26.0,0.14
2024-03-01,12.0,19.0,62.0,-31.0,-26.0,0.24
2025-03-01,16.0,23.0,70.0,-31.0,-24.0,0.22
