date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,109.0,166.0,181.0,95.0,64.0,0.19
2015-03-01,115.0,178.0,195.0,98.0,45.0,0.21
2016-03-01,133.0,204.0,213.0,124.0,48.0,0.19
2017-03-01,127.0,194.0,228.0,93.0,84.0,0.22
2018-03-01,127.0,204.0,255.0,76.0,94.0,0.21
2019-03-01,195.0,306.0,330.0,171.0,127.0,0.1
2020-03-01,121.0,153.0,199.0,75.0,59.0,0.1
2021-03-01,115.0,180.0,244.0,51.0,52.0,0.13
2022-03-01,121.0,216.0,274.0,64.0,38.0,0.14
2023-03-01,124.0,187.0,236.0,76.0,46.0,0.14
2024-03-01,138.0,198.0,196.0,141.0,52.0,0.03
2025-03-01,121.0,167.0,176.0,112.0,9.0,0.08
