date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,81.0,0.0,0.0,81.0,52.0,0.56
2015-03-01,79.0,0.0,0.0,79.0,33.0,0.5
2016-03-01,81.0,0.0,0.0,81.0,62.0,0.51
2017-03-01,70.0,0.0,0.0,70.0,62.0,0.44
2018-03-01,74.0,0.0,0.0,74.0,61.0,0.39
2019-03-01,68.0,0.0,0.0,68.0,70.0,0.47
2020-03-01,71.0,0.0,0.0,71.0,64.0,0.47
2021-03-01,67.0,0.0,0.0,67.0,59.0,0.49
2022-03-01,80.0,0.0,0.0,80.0,33.0,0.54
2023-03-01,81.0,0.0,0.0,81.0,30.0,0.59
2024-03-01,81.0,0.0,0.0,81.0,34.0,0.64
2025-03-01,84.0,0.0,0.0,84.0,34.0,0.65
