date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,27.0,0.0,0.0,27.0,-194.0,0.1
2015-03-01,20.0,0.0,0.0,20.0,-205.0,0.11
2016-03-01,21.0,0.0,0.0,21.0,-161.0,0.13
2017-03-01,18.0,0.0,0.0,18.0,-199.0,0.1
2018-03-01,26.0,0.0,0.0,26.0,-258.0,0.07
2019-03-01,19.0,0.0,0.0,19.0,-329.0,0.03
2020-03-01,19.0,0.0,0.0,19.0,-352.0,0.05
2021-03-01,13.0,0.0,0.0,13.0,-270.0,0.07
2022-03-01,13.0,0.0,0.0,13.0,-239.0,0.11
2023-03-01,10.0,0.0,0.0,10.0,-217.0,0.12
2024-03-01,12.0,0.0,0.0,12.0,-236.0,0.13
2025-03-01,16.0,0.0,0.0,16.0,-277.0,0.13
