date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,96.0,125.0,222.0,-2.0,-9.0,0.14
2015-03-01,82.0,79.0,146.0,15.0,-12.0,0.15
2016-03-01,76.0,104.0,211.0,-31.0,-17.0,0.2
2017-03-01,78.0,97.0,191.0,-16.0,6.0,0.2
2018-03-01,75.0,152.0,228.0,-2.0,8.0,0.2
2019-03-01,78.0,119.0,211.0,-14.0,8.0,0.25
2020-03-01,57.0,116.0,211.0,-38.0,-13.0,0.19
2021-03-01,69.0,143.0,260.0,-48.0,-1.0,0.13
2022-03-01,72.0,125.0,223.0,-26.0,6.0,0.2
2023-03-01,71.0,127.0,223.0,-25.0,2.0,0.25
2024-03-01,74.0,106.0,198.0,-18.0,20.0,0.26
2025-03-01,60.0,131.0,209.0,-18.0,16.0,0.26
