date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,32.0,209.0,160.0,82.0,1.0,0.1
2015-03-01,30.0,207.0,102.0,136.0,-44.0,0.09
2016-03-01,32.0,168.0,97.0,103.0,-56.0,0.11
2017-03-01,30.0,163.0,117.0,76.0,-19.0,0.13
2018-03-01,34.0,170.0,146.0,58.0,-95.0,0.1
2019-03-01,32.0,154.0,133.0,53.0,-47.0,0.08
2020-03-01,31.0,179.0,172.0,38.0,-84.0,0.08
2021-03-01,21.0,179.0,229.0,-29.0,-103.0,0.09
2022-03-01,21.0,200.0,239.0,-18.0,-88.0,0.09
2023-03-01,18.0,180.0,216.0,-17.0,-75.0,0.1
2024-03-01,19.0,194.0,221.0,-7.0,-91.0,0.09
2025-03-01,23.0,179.0,177.0,25.0,-105.0,0.08
