date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,113.0,69.0,261.0,-78.0,28.0,0.12
2015-03-01,119.0,76.0,288.0,-92.0,12.0,0.1
2016-03-01,94.0,51.0,283.0,-138.0,44.0,0.11
2017-03-01,96.0,41.0,301.0,-164.0,42.0,0.11
2018-03-01,101.0,45.0,349.0,-203.0,45.0,0.14
2019-03-01,99.0,51.0,340.0,-190.0,20.0,0.13
2020-03-01,102.0,44.0,336.0,-190.0,25.0,0.12
2021-03-01,113.0,51.0,401.0,-236.0,28.0,0.1
2022-03-01,108.0,44.0,378.0,-227.0,0.0,0.1
2023-03-01,89.0,41.0,302.0,-172.0,2.0,0.12
2024-03-01,81.0,32.0,255.0,-143.0,-16.0,0.13
2025-03-01,77.0,30.0,208.0,-101.0,-33.0,0.14
