date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,3.0,90.0,83.0,9.0,21.0,0.01
2015-03-01,3.0,91.0,61.0,33.0,-15.0,0.04
2016-03-01,3.0,128.0,76.0,55.0,-25.0,0.07
2017-03-01,1.0,126.0,70.0,58.0,36.0,0.09
2018-03-01,3.0,122.0,74.0,51.0,41.0,0.1
2019-03-01,2.0,138.0,68.0,72.0,24.0,0.11
2020-03-01,2.0,118.0,58.0,62.0,39.0,0.17
2021-03-01,3.0,102.0,65.0,40.0,-14.0,0.02
2022-03-01,1.0,128.0,56.0,74.0,42.0,0.09
2023-03-01,2.0,105.0,51.0,55.0,29.0,0.12
2024-03-01,2.0,83.0,41.0,45.0,16.0,0.24
2025-03-01,1.0,77.0,35.0,43.0,15.0,0.31
