date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,70.0,0.0,0.0,70.0,168.0,0.14
2015-03-01,76.0,0.0,0.0,76.0,29.0,0.14
2016-03-01,125.0,0.0,0.0,125.0,-116.0,0.13
2017-03-01,116.0,0.0,0.0,116.0,107.0,0.14
2018-03-01,139.0,0.0,0.0,139.0,219.0,0.17
2019-03-01,93.0,0.0,0.0,93.0,-74.0,0.14
2020-03-01,98.0,0.0,0.0,98.0,-6.0,0.12
2021-03-01,85.0,0.0,0.0,85.0,-5.0,0.14
2022-03-01,54.0,0.0,0.0,54.0,-85.0,0.11
2023-03-01,69.0,0.0,0.0,69.0,-56.0,0.1
2024-03-01,50.0,0.0,0.0,50.0,-101.0,0.13
2025-03-01,53.0,0.0,0.0,53.0,-114.0,0.14
