date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,25.0,228.0,58.0,195.0,7.0,0.5
2015-03-01,19.0,212.0,50.0,181.0,-6.0,0.47
2016-03-01,18.0,244.0,63.0,199.0,51.0,0.4
2017-03-01,21.0,185.0,60.0,145.0,45.0,0.36
2018-03-01,23.0,173.0,80.0,115.0,31.0,0.34
2019-03-01,30.0,165.0,74.0,122.0,32.0,0.34
2020-03-01,19.0,187.0,76.0,129.0,35.0,0.32
2021-03-01,19.0,189.0,78.0,129.0,36.0,0.28
2022-03-01,15.0,150.0,61.0,104.0,31.0,0.33
2023-03-01,15.0,148.0,59.0,105.0,20.0,0.39
2024-03-01,22.0,191.0,65.0,148.0,39.0,0.36
2025-03-01,23.0,178.0,55.0,146.0,45.0,0.37
