date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,15.0,2.0,15.0,2.0,-8.0,0.16
2015-03-01,19.0,2.0,19.0,2.0,-5.0,0.21
2016-03-01,16.0,2.0,15.0,3.0,-8.0,0.24
2017-03-01,66.0,2.0,69.0,-2.0,-27.0,0.2
2018-03-01,26.0,2.0,32.0,-3.0,-29.0,0.18
2019-03-01,15.0,2.0,35.0,-18.0,-30.0,0.2
2020-03-01,23.0,2.0,23.0,3.0,-9.0,0.13
2021-03-01,9.0,6.0,9.0,6.0,-23.0,0.15
2022-03-01,58.0,9.0,63.0,3.0,-11.0,0.17
2023-03-01,35.0,7.0,42.0,1.0,7.0,0.16
2024-03-01,27.0,4.0,28.0,3.0,-8.0,0.15
2025-03-01,37.0,13.0,31.0,20.0,-12.0,0.13
