date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,31.0,0.0,0.0,31.0,-18.0,0.11
2015-03-01,42.0,0.0,0.0,42.0,-47.0,0.08
2016-03-01,41.0,0.0,0.0,41.0,-39.0,0.07
2017-03-01,40.0,0.0,0.0,40.0,-52.0,0.09
2018-03-01,37.0,0.0,0.0,37.0,-44.0,0.09
2019-03-01,45.0,0.0,0.0,45.0,-106.0,0.07
2020-03-01,68.0,0.0,0.0,68.0,-37.0,0.1
2021-03-01,92.0,0.0,0.0,92.0,-61.0,0.09
2022-03-01,77.0,0.0,0.0,77.0,-62.0,0.09
2023-03-01,62.0,0.0,0.0,62.0,-43.0,0.1
2024-03-01,68.0,0.0,0.0,68.0,-45.0,0.1
2025-03-01,67.0,0.0,0.0,67.0,-38.0,0.1
