date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2015-03-01,41.0,244.0,165.0,120.0,31.0,0.0
2016-03-01,47.0,258.0,113.0,193.0,-22.0,0.05
2017-03-01,26.0,149.0,126.0,48.0,-218.0,0.1
2018-03-01,29.0,126.0,108.0,47.0,158.0,0.19
2019-03-01,90.0,574.0,136.0,527.0,148.0,0.45
2020-03-01,138.0,822.0,104.0,855.0,349.0,0.08
2021-03-01,200.0,1252.0,236.0,1217.0,134.0,0.01
2022-03-01,54.0,490.0,91.0,453.0,61.0,0.06
2023-03-01,36.0,194.0,64.0,166.0,-19.0,0.01
2024-03-01,11.0,69.0,101.0,-21.0,-4.0,0.01
2025-03-01,10.0,78.0,87.0,2.0,28.0,0.03
