date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,38.0,114.0,89.0,64.0,4.0,0.05
2015-03-01,32.0,104.0,87.0,49.0,-6.0,0.06
2016-03-01,29.0,103.0,92.0,40.0,4.0,0.04
2017-03-01,30.0,120.0,115.0,36.0,-17.0,0.08
2018-03-01,32.0,115.0,108.0,38.0,17.0,0.1
2019-03-01,32.0,103.0,96.0,39.0,18.0,0.11
2020-03-01,29.0,120.0,98.0,51.0,4.0,0.09
2021-03-01,36.0,146.0,135.0,47.0,3.0,0.09
2022-03-01,39.0,138.0,128.0,49.0,-3.0,0.17
2023-03-01,27.0,111.0,93.0,45.0,13.0,0.11
2024-03-01,28.0,111.0,90.0,49.0,12.0,0.11
2025-03-01,30.0,123.0,102.0,51.0,23.0,0.15
