date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,104.0,372.0,61.0,416.0,157.0,0.36
2015-03-01,87.0,350.0,68.0,368.0,140.0,0.33
2016-03-01,85.0,293.0,56.0,322.0,158.0,0.36
2017-03-01,81.0,307.0,104.0,284.0,147.0,0.29
2018-03-01,95.0,314.0,96.0,313.0,176.0,0.22
2019-03-01,86.0,347.0,96.0,336.0,169.0,0.29
2020-03-01,96.0,316.0,100.0,312.0,180.0,0.25
2021-03-01,88.0,329.0,117.0,300.0,152.0,0.32
2022-03-01,99.0,341.0,96.0,344.0,177.0,0.35
2023-03-01,84.0,352.0,89.0,347.0,188.0,0.19
2024-03-01,100.0,364.0,94.0,370.0,206.0,0.16
2025-03-01,106.0,311.0,88.0,330.0,192.0,0.2
