date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,29.0,251.0,252.0,28.0,-20.0,0.12
2015-03-01,26.0,266.0,154.0,138.0,-82.0,0.12
2016-03-01,28.0,203.0,142.0,89.0,-83.0,0.13
2017-03-01,25.0,195.0,150.0,70.0,-38.0,0.14
2018-03-01,26.0,226.0,165.0,87.0,-50.0,0.12
2019-03-01,25.0,214.0,165.0,74.0,-48.0,0.1
2020-03-01,20.0,234.0,188.0,66.0,-60.0,0.12
2021-03-01,21.0,207.0,234.0,-6.0,-83.0,0.15
2022-03-01,21.0,256.0,269.0,9.0,-56.0,0.14
2023-03-01,22.0,248.0,271.0,-0.0,-56.0,0.13
2024-03-01,22.0,255.0,260.0,17.0,-52.0,0.15
2025-03-01,28.0,255.0,248.0,35.0,-64.0,0.11
