date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,33.0,121.0,102.0,52.0,5.0,0.45
2015-03-01,32.0,123.0,84.0,70.0,11.0,0.42
2016-03-01,30.0,108.0,84.0,54.0,15.0,0.42
2017-03-01,35.0,138.0,101.0,72.0,22.0,0.38
2018-03-01,38.0,117.0,95.0,60.0,22.0,0.36
2019-03-01,36.0,119.0,90.0,65.0,16.0,0.33
2020-03-01,32.0,127.0,80.0,79.0,34.0,0.33
2021-03-01,44.0,134.0,119.0,59.0,37.0,0.34
2022-03-01,49.0,142.0,96.0,94.0,57.0,0.29
2023-03-01,49.0,121.0,71.0,99.0,54.0,0.34
2024-03-01,50.0,122.0,79.0,93.0,49.0,0.38
2025-03-01,46.0,142.0,81.0,107.0,52.0,0.26
