date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,67.0,38.0,86.0,19.0,-91.0,0.07
2015-03-01,87.0,35.0,89.0,33.0,-81.0,0.09
2016-03-01,109.0,17.0,69.0,57.0,-2.0,0.03
2017-03-01,127.0,19.0,101.0,46.0,-19.0,0.07
2018-03-01,123.0,28.0,104.0,47.0,-8.0,0.06
2019-03-01,129.0,29.0,133.0,26.0,-10.0,0.07
2020-03-01,111.0,27.0,126.0,11.0,-21.0,0.09
2021-03-01,111.0,21.0,142.0,-10.0,-31.0,0.08
2022-03-01,72.0,46.0,120.0,-2.0,-89.0,0.07
2023-03-01,36.0,27.0,111.0,-49.0,-38.0,0.09
2024-03-01,37.0,69.0,178.0,-72.0,-61.0,0.1
2025-03-01,36.0,73.0,148.0,-39.0,-59.0,0.09
