date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,50.0,410.0,174.0,286.0,71.0,0.34
2015-03-01,68.0,307.0,178.0,197.0,-7.0,0.23
2016-03-01,87.0,370.0,207.0,251.0,37.0,0.18
2017-03-01,83.0,307.0,197.0,193.0,-4.0,0.2
2018-03-01,108.0,338.0,234.0,212.0,-31.0,0.1
2019-03-01,112.0,366.0,192.0,285.0,31.0,0.1
2020-03-01,105.0,311.0,142.0,274.0,51.0,0.1
2021-03-01,99.0,378.0,167.0,310.0,51.0,0.13
2022-03-01,99.0,315.0,158.0,255.0,47.0,0.17
2023-03-01,95.0,360.0,194.0,261.0,40.0,0.16
2024-03-01,85.0,338.0,194.0,229.0,55.0,0.17
2025-03-01,91.0,348.0,210.0,228.0,65.0,0.2
