date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-06-01,19.0,703.0,163.0,559.0,-3.0,0.18
2015-06-01,28.0,708.0,225.0,511.0,18.0,0.09
2016-03-01,22.0,657.0,207.0,472.0,32.0,0.18
2017-03-01,14.0,765.0,205.0,575.0,22.0,0.2
2018-03-01,17.0,743.0,345.0,416.0,11.0,0.18
2019-03-01,30.0,672.0,193.0,509.0,62.0,0.13
2020-03-01,31.0,631.0,242.0,420.0,5.0,0.15
2021-03-01,18.0,585.0,301.0,302.0,-21.0,0.19
2022-03-01,19.0,878.0,313.0,584.0,-1.0,0.17
2023-03-01,25.0,703.0,305.0,423.0,-27.0,0.09
2024-03-01,23.0,670.0,229.0,464.0,7.0,0.15
2025-03-01,27.0,444.0,247.0,223.0,-8.0,0.07
