date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,72.0,28.0,639.0,-539.0,15.0,0.29
2015-03-01,71.0,56.0,671.0,-544.0,15.0,0.27
2016-03-01,71.0,66.0,597.0,-461.0,-14.0,0.23
2017-03-01,62.0,0.0,0.0,62.0,-23.0,0.19
2018-03-01,68.0,0.0,0.0,68.0,3.0,0.17
2019-03-01,62.0,0.0,0.0,62.0,-13.0,0.19
2020-03-01,62.0,0.0,0.0,62.0,-18.0,0.2
2021-03-01,56.0,0.0,0.0,56.0,-31.0,0.22
2022-03-01,53.0,0.0,0.0,53.0,-15.0,0.21
2023-03-01,51.0,0.0,0.0,51.0,-3.0,0.18
2024-03-01,47.0,0.0,0.0,47.0,-4.0,0.17
2025-03-01,48.0,0.0,0.0,48.0,-17.0,0.2
