,token,name,symbol
9065,99919000,SENSEX,SENSEX
9066,99919001,S&P BSE PSU,BSEPSU
9067,99919002,S&P BSE 100,BSE100
9068,99919003,S&P BSE 200,BSE200
9069,99919004,S&P BSE 500,BSE500
9070,99919005,S&P BSE INFORMATION TECHNOLOGY,BSE IT
9071,99919006,S&P BSE FAST MOVING CONSUMER GOODS,BSEFMC
9072,99919007,S&P BSE CAPITAL GOODS,BSE CG
9073,99919008,S&P BSE CONSUMER DURABLES,BSE CD
9074,99919009,S&P BSE HEALTHCARE,BSE HC
9075,99919011,S&P BSE TECK,TECK
9076,99919012,BANKEX,BANKEX
9077,99919013,S&P BSE AUTO,AUTO
9078,99919014,S&P BSE METAL,METAL
9079,99919015,S&P BSE CPSE,CPSE
9080,99919016,S&P BSE MIDCAP,MIDCAP
9081,99919017,S&P BSE SMALLCAP,SMLCAP
9082,99919018,S&P BSE DOLLEX 30,DOL30
9083,99919019,S&P BSE DOLLEX 100,DOL100
9084,99919020,S&P BSE DOLLEX 200,DOL200
9085,99919042,S&P BSE LARGECAP,LRGCAP
9086,99919043,S&P BSE MIDCAP SELECT INDEX,MIDSEL
9087,99919044,S&P BSE SMALLCAP SELECT INDEX,SMLSEL
9088,99919051,S&P BSE OIL & GAS,OILGAS
9089,99919052,S&P BSE POWER,POWER
9090,99919053,S&P BSE REALTY,REALTY
9091,99919054,S&P BSE IPO,BSEIPO
9092,99919058,S&P BSE CARBONEX,CARBON
9093,99919059,S&P BSE SME IPO,SMEIPO
9094,99919060,S&P BSE INDIA INFRASTRUCTURE INDEX,INFRA
9095,99919081,S&P BSE GREENEX,GREENX
9096,99919082,S&P BSE SENSEX 50,SNSX50
9097,99919083,S&P BSE SENSEX NEXT 50,SNXT50
9098,99919084,S&P BSE ENERGY,ENERGY
9099,99919085,S&P BSE FINANCIAL SERVICES,FINSER
9100,99919086,S&P BSE INDUSTRIALS,INDSTR
9101,99919087,S&P BSE TELECOM,TELCOM
9102,99919088,S&P BSE 150 MIDCAP INDEX,MID150
9103,99919089,S&P BSE 250 LARGEMIDCAP INDEX,LMI250
9104,99919090,S&P BSE 400 MIDSMALLCAP INDEX,MSL400
9105,12,BANKEX,BANKEX
9106,47,SX50,SX50
9107,500002,ABB,ABB
9108,500067,BLUESTARCO,BLUESTARCO
9109,500012,ANDHRAPET,ANDHRAPET
9110,500013,ANSALAPI,ANSALAPI
9111,500028,ATVPR,ATVPR
9112,500039,BANCOINDIA,BANCOINDIA
9113,500069,QUESTCAP,QUESTCAP
9114,500074,BPL,BPL
9115,500085,CHAMBLFERT,CHAMBLFERT
9116,500166,GOODRICKE,GOODRICKE
9117,500043,BATAINDIA,BATAINDIA
9118,500059,BILVYAPAR,BILVYAPAR
9119,500068,DISAQ,DISAQ
9120,500083,CENTEXT,CENTEXT
9121,500170,GTNINDS,GTNINDS
9122,500199,IGPL,IGPL
9123,500202,INDLEASE,INDLEASE
9124,500207,INDORAMA,INDORAMA
9125,500110,CHENNPETRO,CHENNPETRO
9126,500120,DIAMINESQ,DIAMINESQ
9127,500135,EPL,EPL
9128,500143,PHCAP,PHCAP
9129,500228,JSWSTEEL,JSWSTEEL
9130,500233,KAJARIACER,KAJARIACER
9131,500251,TRENT,TRENT
9132,500279,MIRCELECTR,MIRCELECTR
9133,500210,INGERRAND,INGERRAND
9134,500240,KINETICENG,KINETICENG
9135,500250,LGBBROSLTD,LGBBROSLTD
9136,500285,SPICEJET,SPICEJET
9137,500290,MRF,MRF
9138,500292,HEIDELBERG,HEIDELBERG
9139,500294,NCC,NCC
9140,500330,RAYMOND,RAYMOND
9141,500312,ONGC,ONGC
9142,500313,OILCOUNTUB,OILCOUNTUB
9143,500339,RAIN,RAIN
9144,500357,RAMAPPR-B,RAMAPPR-B
9145,500368,PATANJALI,PATANJALI
9146,500380,JKLAKSHMI,JKLAKSHMI
9147,500420,TORNTPHARM,TORNTPHARM
9148,500459,PGHH,PGHH
9149,500449,HOCL,HOCL
9150,500456,PASUPTAC,PASUPTAC
9151,500460,MUKANDLTD,MUKANDLTD
9152,500469,FEDERALBNK,FEDERALBNK
9153,500490,BAJAJHLDNG,BAJAJHLDNG
9154,500730,NOCIL,NOCIL
9155,501622,AMALGAM,AMALGAM
9156,501833,CHOWGULSTM,CHOWGULSTM
9157,500480,CUMMINSIND,CUMMINSIND
9158,500690,GSFC,GSFC
9159,500790,NESTLEIND,NESTLEIND
9160,500825,BRITANNIA,BRITANNIA
9161,502355,BALKRISIND,BALKRISIND
9162,502893,UNITEDINT,UNITEDINT
9163,503169,RUBYMILLS,RUBYMILLS
9164,503675,WAGEND,WAGEND
9165,501700,INDIANVSH,INDIANVSH
9166,500840,EIHOTEL,EIHOTEL
9167,500877,APOLLOTYRE,APOLLOTYRE
9168,501423,SHAILY,SHAILY
9169,503681,ELCIDIN,ELCIDIN
9170,503806,SRF,SRF
9171,504000,ELPROINTL,ELPROINTL
9172,504058,NIPPOBATRY,NIPPOBATRY
9173,501831,COASTCORP,COASTCORP
9174,502090,SAGCEM,SAGCEM
9175,502157,MANGLMCEM,MANGLMCEM
9176,502168,NCLIND,NCLIND
9177,504076,JYOTI,JYOTI
9178,504080,JSLINDL,JSLINDL
9179,504369,GRANDMA,GRANDMA
9180,504378,NYSSACORP,NYSSACORP
9181,502175,SAURASHCEM,SAURASHCEM
9182,502330,ANDHRAPAP,ANDHRAPAP
9183,502986,VTL,VTL
9184,503635,SALSAIN,SALSAIN
9185,504903,RATHIST,RATHIST
9186,504998,WMINIMT,WMINIMT
9187,505032,AUTOPRD,AUTOPRD
9188,505368,SEMAC,SEMAC
9189,503722,BANSWRAS,BANSWRAS
9190,503816,SWADPOL,SWADPOL
9191,504286,DELTAMAGNT,DELTAMAGNT
9192,504988,ZWELCAST,ZWELCAST
9193,505504,GHVINFRA,GHVINFRA
9194,505725,ALGOQUANT,ALGOQUANT
9195,505978,TRITONV,TRITONV
9196,506074,ARSHIYA,ARSHIYA
9197,505200,EICHERMOT,EICHERMOT
9198,505212,JAINEX,JAINEX
9199,505302,LAKSHMIEW,LAKSHMIEW
9200,505324,MANUGRAPH,MANUGRAPH
9201,506128,PARNAXLAB,PARNAXLAB
9202,506134,GOURMET,GOURMET
9203,506161,ISHWATR,ISHWATR
9204,506178,VELOX,VELOX
9205,505509,RESPONIND,RESPONIND
9206,505523,MAHACORP,MAHACORP
9207,505594,MULTIIN,MULTIIN
9208,505688,BHARATGEAR,BHARATGEAR
9209,506180,EMERGENT,EMERGENT
9210,506184,KANANIIND,KANANIIND
9211,506222,STYRENIX,STYRENIX
9212,506390,SUDARCOLOR,SUDARCOLOR
9213,505850,MANCREDIT,MANCREDIT
9214,506024,HVL,HVL
9215,506042,ZPRBHSTE,ZPRBHSTE
9216,506260,ANUHPHR,ANUHPHR
9217,506580,PBGLOBAL,PBGLOBAL
9218,506687,TRANSPEK,TRANSPEK
9219,506906,SCBL,SCBL
9220,506808,TUTIALKA,TUTIALKA
9221,506590,PCBL,PCBL
9222,506618,PUNJABCHEM,PUNJABCHEM
9223,506863,SWADEIN,SWADEIN
9224,506935,CONTCHM,CONTCHM
9225,507515,CJGEL,CJGEL
9226,507717,DHANUKA,DHANUKA
9227,507794,KHAICHEM,KHAICHEM
9228,507864,PIONRINV,PIONRINV
9229,507526,ASALCBR,ASALCBR
9230,507833,COMPUPN,COMPUPN
9231,507872,ASHNOOR,ASHNOOR
9232,507880,VIPIND,VIPIND
9233,507962,FYNX,FYNX
9234,507968,JOLYPLS,JOLYPLS
9235,507987,JPTRLES,JPTRLES
9236,508963,TRUSTWAVE,TRUSTWAVE
9237,1,BSX,BSX
9238,500009,AMBALALSA,AMBALALSA
9239,500027,ATUL,ATUL
9240,507998,SIMMOND,SIMMOND
9241,508670,NEAGI,NEAGI
9242,508941,PANCARBON,PANCARBON
9243,509026,VJTFEDU,VJTFEDU
9244,509243,TVSSRICHAK,TVSSRICHAK
9245,500101,ARVIND,ARVIND
9246,500114,TITAN,TITAN
9247,500117,DCW,DCW
9248,500126,PGHL,PGHL
9249,509496,CEMPRO,CEMPRO
9250,509650,ZHINDHSG,ZHINDHSG
9251,509715,JAYSREETEA,JAYSREETEA
9252,509782,OSEASPR,OSEASPR
9253,500142,FGP,FGP
9254,500150,FOSECOIND,FOSECOIND
9255,500151,GOLDENTOBC,GOLDENTOBC
9256,500160,GTL,GTL
9257,500003,AEGISLOG,AEGISLOG
9258,500023,ASIANHOTNR,ASIANHOTNR
9259,500060,BIRLACABLE,BIRLACABLE
9260,500104,HINDPETRO,HINDPETRO
9261,500168,GOODYEAR,GOODYEAR
9262,500209,INFY,INFY
9263,500219,JISLJALEQS,JISLJALEQS
9264,500234,KAKATCEM,KAKATCEM
9265,500284,LORDSCHLO,LORDSCHLO
9266,500112,SBIN,SBIN
9267,500113,SAIL,SAIL
9268,500128,ELECTCAST,ELECTCAST
9269,500331,PIDILITIND,PIDILITIND
9270,500367,RUBFILA,RUBFILA
9271,500400,TATAPOWER,TATAPOWER
9272,500413,THOMASCOOK,THOMASCOOK
9273,500179,HCL-INSYS,HCL-INSYS
9274,500180,HDFCBANK,HDFCBANK
9275,500186,HINDOILEXP,HINDOILEXP
9276,500220,JASCH,JASCH
9277,500239,KGDENIM,KGDENIM
9278,500249,KSB,KSB
9279,500257,LUPIN,LUPIN
9280,500260,RAMCOCEM,RAMCOCEM
9281,500426,UTLINDS,UTLINDS
9282,500429,UNIENTER,UNIENTER
9283,500439,VHL,VHL
9284,500500,HINDMOTORS,HINDMOTORS
9285,500262,HYBRIDFIN,HYBRIDFIN
9286,500333,PIXTRANS,PIXTRANS
9287,500346,PUNJCOMMU,PUNJCOMMU
9288,500354,RAJSREESUG,RAJSREESUG
9289,500660,GLAXO,GLAXO
9290,500672,NOVARTIND,NOVARTIND
9291,501150,CENTRUM,CENTRUM
9292,501295,IITL,IITL
9293,500402,SPMLINFRA,SPMLINFRA
9294,500405,SPLPETRO,SPLPETRO
9295,500407,SWARAJENG,SWARAJENG
9296,500464,UCAL,UCAL
9297,501343,MOTOGENFIN,MOTOGENFIN
9298,501370,WALCHPF,WALCHPF
9299,501386,EENTER,EENTER
9300,501425,BBTC,BBTC
9301,500493,BHARATFORG,BHARATFORG
9302,500520,M&M,M&M
9303,500540,PREMIER,PREMIER
9304,500570,TMPV,TMPV
9305,501430,BOMBCYC,BOMBCYC
9306,502137,DECCANCE,DECCANCE
9307,502180,SHREDIGCEM,SHREDIGCEM
