,token,name,symbol
9145,99919000,SENSEX,SENSEX
9146,99919001,S&P BSE PSU,BSEPSU
9147,99919002,S&P BSE 100,BSE100
9148,99919003,S&P BSE 200,BSE200
9149,99919004,S&P BSE 500,BSE500
9150,99919005,S&P BSE INFORMATION TECHNOLOGY,BSE IT
9151,99919006,S&P BSE FAST MOVING CONSUMER GOODS,BSEFMC
9152,99919007,S&P BSE CAPITAL GOODS,BSE CG
9153,99919008,S&P BSE CONSUMER DURABLES,BSE CD
9154,99919009,S&P BSE HEALTHCARE,BSE HC
9155,99919011,S&P BSE TECK,TECK
9156,99919012,BANKEX,BANKEX
9157,99919013,S&P BSE AUTO,AUTO
9158,99919014,S&P BSE METAL,METAL
9159,99919015,S&P BSE CPSE,CPSE
9160,99919016,S&P BSE MIDCAP,MIDCAP
9161,99919017,S&P BSE SMALLCAP,SMLCAP
9162,99919018,S&P BSE DOLLEX 30,DOL30
9163,99919019,S&P BSE DOLLEX 100,DOL100
9164,99919020,S&P BSE DOLLEX 200,DOL200
9165,99919042,S&P BSE LARGECAP,LRGCAP
9166,99919043,S&P BSE MIDCAP SELECT INDEX,MIDSEL
9167,99919044,S&P BSE SMALLCAP SELECT INDEX,SMLSEL
9168,99919051,S&P BSE OIL & GAS,OILGAS
9169,99919052,S&P BSE POWER,POWER
9170,99919053,S&P BSE REALTY,REALTY
9171,99919054,S&P BSE IPO,BSEIPO
9172,99919058,S&P BSE CARBONEX,CARBON
9173,99919059,S&P BSE SME IPO,SMEIPO
9174,99919060,S&P BSE INDIA INFRASTRUCTURE INDEX,INFRA
9175,99919081,S&P BSE GREENEX,GREENX
9176,99919082,S&P BSE SENSEX 50,SNSX50
9177,99919083,S&P BSE SENSEX NEXT 50,SNXT50
9178,99919084,S&P BSE ENERGY,ENERGY
9179,99919085,S&P BSE FINANCIAL SERVICES,FINSER
9180,99919086,S&P BSE INDUSTRIALS,INDSTR
9181,99919087,S&P BSE TELECOM,TELCOM
9182,99919088,S&P BSE 150 MIDCAP INDEX,MID150
9183,99919089,S&P BSE 250 LARGEMIDCAP INDEX,LMI250
9184,99919090,S&P BSE 400 MIDSMALLCAP INDEX,MSL400
9185,1,BSX,BSX
9186,12,BANKEX,BANKEX
9187,500008,ARE&M,ARE&M
9188,500097,DALMIASUG,DALMIASUG
9189,500209,INFY,INFY
9190,500143,PHCAP,PHCAP
9191,500148,UFLEX,UFLEX
9192,500183,HFCL,HFCL
9193,500239,KGDENIM,KGDENIM
9194,500250,LGBBROSLTD,LGBBROSLTD
9195,500253,LICHSGFIN,LICHSGFIN
9196,500298,NAPEROL,NAPEROL
9197,500333,PIXTRANS,PIXTRANS
9198,500346,PUNJCOMMU,PUNJCOMMU
9199,500354,RAJSREESUG,RAJSREESUG
9200,500357,RAMAPPR-B,RAMAPPR-B
9201,500370,SALORAINTL,SALORAINTL
9202,500371,SAMTELIN,SAMTELIN
9203,500390,RELINFRA,RELINFRA
9204,500407,SWARAJENG,SWARAJENG
9205,500032,BAJAJHIND,BAJAJHIND
9206,500038,BALRAMCHIN,BALRAMCHIN
9207,500414,TIMEX,TIMEX
9208,500450,MPILCORPL,MPILCORPL
9209,500040,ABREL,ABREL
9210,500147,COCKERILL,COCKERILL
9211,500187,AGI,AGI
9212,500202,INDLEASE,INDLEASE
9213,500206,MARGOFIN,MARGOFIN
9214,500219,JISLJALEQS,JISLJALEQS
9215,500257,LUPIN,LUPIN
9216,500267,MAJESAUT,MAJESAUT
9217,500270,BARODARY,BARODARY
9218,500296,NAHARSPING,NAHARSPING
9219,500306,JAYKAY,JAYKAY
9220,500327,PILITA,PILITA
9221,500330,RAYMOND,RAYMOND
9222,500350,RSWM,RSWM
9223,500388,SKPMIL,SKPMIL
9224,500408,TATAELXSI,TATAELXSI
9225,500421,TPINDIA,TPINDIA
