,token,name,symbol
9167,99919000,SENSEX,SENSEX
9168,99919001,S&P BSE PSU,BSEPSU
9169,99919002,S&P BSE 100,BSE100
9170,99919003,S&P BSE 200,BSE200
9171,99919004,S&P BSE 500,BSE500
9172,99919005,S&P BSE INFORMATION TECHNOLOGY,BSE IT
9173,99919006,S&P BSE FAST MOVING CONSUMER GOODS,BSEFMC
9174,99919007,S&P BSE CAPITAL GOODS,BSE CG
9175,99919008,S&P BSE CONSUMER DURABLES,BSE CD
9176,99919009,S&P BSE HEALTHCARE,BSE HC
9177,99919011,S&P BSE TECK,TECK
9178,99919012,BANKEX,BANKEX
9179,99919013,S&P BSE AUTO,AUTO
9180,99919014,S&P BSE METAL,METAL
9181,99919015,S&P BSE CPSE,CPSE
9182,99919016,S&P BSE MIDCAP,MIDCAP
9183,99919017,S&P BSE SMALLCAP,SMLCAP
9184,99919018,S&P BSE DOLLEX 30,DOL30
9185,99919019,S&P BSE DOLLEX 100,DOL100
9186,99919020,S&P BSE DOLLEX 200,DOL200
9187,99919042,S&P BSE LARGECAP,LRGCAP
9188,99919043,S&P BSE MIDCAP SELECT INDEX,MIDSEL
9189,99919044,S&P BSE SMALLCAP SELECT INDEX,SMLSEL
9190,99919051,S&P BSE OIL & GAS,OILGAS
9191,99919052,S&P BSE POWER,POWER
9192,99919053,S&P BSE REALTY,REALTY
9193,99919054,S&P BSE IPO,BSEIPO
9194,99919058,S&P BSE CARBONEX,CARBON
9195,99919059,S&P BSE SME IPO,SMEIPO
9196,99919060,S&P BSE INDIA INFRASTRUCTURE INDEX,INFRA
9197,99919081,S&P BSE GREENEX,GREENX
9198,99919082,S&P BSE SENSEX 50,SNSX50
9199,99919083,S&P BSE SENSEX NEXT 50,SNXT50
9200,99919084,S&P BSE ENERGY,ENERGY
9201,99919085,S&P BSE FINANCIAL SERVICES,FINSER
9202,99919086,S&P BSE INDUSTRIALS,INDSTR
9203,99919087,S&P BSE TELECOM,TELCOM
9204,99919088,S&P BSE 150 MIDCAP INDEX,MID150
9205,99919089,S&P BSE 250 LARGEMIDCAP INDEX,LMI250
9206,99919090,S&P BSE 400 MIDSMALLCAP INDEX,MSL400
9207,500092,CRISIL,CRISIL
9208,500038,BALRAMCHIN,BALRAMCHIN
9209,500049,BEL,BEL
9210,500059,BILVYAPAR,BILVYAPAR
9211,500093,CGPOWER,CGPOWER
9212,500123,ELANTAS,ELANTAS
9213,500184,HSCL,HSCL
9214,500191,HMT,HMT
9215,500193,HLVLTD,HLVLTD
9216,500206,MARGOFIN,MARGOFIN
9217,500245,KIRLFER,KIRLFER
9218,500247,KOTAKBANK,KOTAKBANK
9219,12,BANKEX,BANKEX
9220,500016,ARUNAHTEL,ARUNAHTEL
