date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,14751.0,-9452.0,-5673.0,-374.0
2015-03-01,19369.0,-1807.0,-17168.0,394.0
2016-03-01,19109.0,-5010.0,-9666.0,4433.0
2017-03-01,25223.0,-16895.0,-11026.0,-2698.0
2018-03-01,25067.0,3104.0,-26885.0,1286.0
2019-03-01,28593.0,1645.0,-27897.0,2341.0
2020-03-01,32369.0,8968.0,-39915.0,1422.0
2021-03-01,38802.0,-7956.0,-32634.0,-1788.0
2022-03-01,39949.0,-738.0,-33581.0,5630.0
2023-03-01,41965.0,548.0,-47878.0,-5365.0
2024-03-01,44338.0,6091.0,-48536.0,1893.0
2025-03-01,48908.0,-2144.0,-47438.0,-674.0
