date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,3818.0,-475.0,-2960.0,383.0
2015-03-01,3292.0,138.0,-3462.0,-33.0
2016-03-01,4171.0,-282.0,-3864.0,25.0
2017-03-01,5185.0,-1173.0,-4214.0,-202.0
2018-03-01,6059.0,-1063.0,-4975.0,21.0
2019-03-01,5800.0,-438.0,-5390.0,-28.0
2020-03-01,7623.0,1791.0,-6819.0,2595.0
2021-03-01,9163.0,-1228.0,-9309.0,-1374.0
2022-03-01,9048.0,-1728.0,-8015.0,-695.0
2023-03-01,9991.0,-1484.0,-8953.0,-446.0
2024-03-01,15469.0,-5324.0,-10034.0,111.0
2025-03-01,11886.0,6473.0,-13101.0,5258.0
