date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,3455.0,-2342.0,-949.0,164.0
2015-03-01,4190.0,-2144.0,-2110.0,-63.0
2016-03-01,4526.0,-3673.0,-844.0,8.0
2017-03-01,5005.0,-2501.0,-2535.0,-31.0
2018-03-01,3888.0,1866.0,-5735.0,18.0
2019-03-01,5956.0,1165.0,-6757.0,364.0
2020-03-01,8972.0,-4192.0,-5076.0,-295.0
2021-03-01,12500.0,-8856.0,-4356.0,-712.0
2022-03-01,9283.0,2257.0,-12498.0,-958.0
2023-03-01,9069.0,-7188.0,-1631.0,250.0
2024-03-01,10898.0,-8789.0,-1926.0,183.0
2025-03-01,10673.0,-15836.0,5076.0,-86.0
