date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-06-01,1401.0,-1234.0,-156.0,11.0
2015-06-01,1239.0,-990.0,-259.0,-10.0
2016-03-01,1566.0,-1265.0,-271.0,31.0
2017-03-01,2202.0,-2048.0,-167.0,-13.0
2018-03-01,1879.0,-3595.0,1726.0,10.0
2019-03-01,2080.0,-720.0,-1276.0,84.0
2020-03-01,3973.0,-5590.0,1581.0,-36.0
2021-03-01,4254.0,-2651.0,-1233.0,370.0
2022-03-01,2668.0,-2143.0,-849.0,-324.0
2023-03-01,2569.0,-2405.0,-277.0,-113.0
2024-03-01,3347.0,-1418.0,-1710.0,220.0
2025-03-01,4920.0,-3726.0,-1296.0,-102.0
