date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,7344.0,-3254.0,-4122.0,-32.0
2015-03-01,9843.0,-5275.0,-4661.0,-93.0
2016-03-01,9799.0,-3921.0,-5613.0,266.0
2017-03-01,10627.0,-3251.0,-7301.0,75.0
2018-03-01,13169.0,-7114.0,-6221.0,-166.0
2019-03-01,12583.0,-5546.0,-6869.0,169.0
2020-03-01,14690.0,-6174.0,-8181.0,334.0
2021-03-01,12527.0,5740.0,-18634.0,-367.0
2022-03-01,15776.0,-2238.0,-13580.0,-43.0
2023-03-01,18878.0,-5732.0,-13006.0,139.0
2024-03-01,17179.0,1563.0,-18551.0,191.0
2025-03-01,17627.0,-564.0,-17037.0,26.0
