date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,8228.0,-8007.0,-1109.0,-888.0
2015-03-01,8532.0,-11465.0,3445.0,512.0
2016-03-01,5112.0,-1825.0,-3448.0,-161.0
2017-03-01,774.0,-1460.0,716.0,30.0
2018-03-01,2942.0,-7649.0,5120.0,413.0
2019-03-01,3236.0,2487.0,-6158.0,-436.0
2020-03-01,2454.0,-1082.0,-221.0,1151.0
2021-03-01,4043.0,-8611.0,3109.0,-1459.0
2022-03-01,1385.0,-17041.0,15901.0,246.0
2023-03-01,17626.0,-15459.0,-1198.0,970.0
2024-03-01,10312.0,-18767.0,8879.0,424.0
2025-03-01,4513.0,-25709.0,21947.0,751.0
