date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,16531.0,-15509.0,-2709.0,-1687.0
2015-03-01,14889.0,-15977.0,-1474.0,-2563.0
2016-03-01,24125.0,-19162.0,-3899.0,1064.0
2017-03-01,20167.0,-24480.0,3138.0,-1176.0
2018-03-01,19670.0,-20678.0,1028.0,19.0
2019-03-01,18686.0,-24063.0,4927.0,-451.0
2020-03-01,23890.0,-29628.0,6004.0,266.0
2021-03-01,32444.0,-21034.0,-11049.0,360.0
2022-03-01,41788.0,-22891.0,-19172.0,-274.0
2023-03-01,47152.0,-26145.0,-21217.0,-210.0
2024-03-01,40099.0,-31456.0,-8246.0,398.0
2025-03-01,50436.0,-45800.0,-4073.0,563.0
