date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,1402.0,-586.0,-626.0,190.0
2015-03-01,1188.0,-465.0,-576.0,147.0
2016-03-01,2243.0,-866.0,-849.0,528.0
2017-03-01,1527.0,-681.0,-756.0,90.0
2018-03-01,2113.0,-1556.0,-1379.0,-822.0
2019-03-01,2470.0,-918.0,-1117.0,434.0
2020-03-01,2632.0,-518.0,-2465.0,-351.0
2021-03-01,3683.0,-541.0,-650.0,2492.0
2022-03-01,986.0,-317.0,-1808.0,-1138.0
2023-03-01,4193.0,-1282.0,-2140.0,771.0
2024-03-01,6104.0,-2548.0,-2982.0,573.0
2025-03-01,4424.0,-941.0,-3753.0,-270.0
