date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,433521.0,398586.0,34935.0,0.08,8865.0,3836.0,11201.0,28763.0,0.22,22548.0,16.31,0.12
2015-03-01,374372.0,336923.0,37449.0,0.1,8528.0,3316.0,11547.0,31114.0,0.24,23640.0,17.07,0.12
2016-03-01,272583.0,230802.0,41781.0,0.15,12212.0,3691.0,11565.0,38737.0,0.23,29861.0,21.51,0.1
2017-03-01,303954.0,257647.0,46307.0,0.15,9222.0,3849.0,11646.0,40034.0,0.25,29833.0,21.55,0.11
2018-03-01,390823.0,326508.0,64315.0,0.16,9869.0,8052.0,16706.0,49426.0,0.27,36080.0,26.69,0.1
2019-03-01,568337.0,484087.0,84250.0,0.15,8406.0,16495.0,20934.0,55227.0,0.28,39837.0,29.28,0.1
2020-03-01,596679.0,507413.0,89266.0,0.15,8570.0,22027.0,22203.0,53606.0,0.26,39880.0,29.1,0.1
2021-03-01,466307.0,385517.0,80790.0,0.17,22432.0,21189.0,26572.0,55461.0,0.03,53739.0,38.75,0.09
2022-03-01,694673.0,586092.0,108581.0,0.16,19600.0,14584.0,29782.0,83815.0,0.19,67845.0,44.87,0.09
2023-03-01,876396.0,734078.0,142318.0,0.16,12020.0,19571.0,40303.0,94464.0,0.22,74088.0,49.29,0.09
2024-03-01,899041.0,736543.0,162498.0,0.18,15792.0,23118.0,50832.0,104340.0,0.25,79020.0,51.45,0.1
2025-03-01,962820.0,797222.0,165598.0,0.17,17824.0,24269.0,53136.0,106017.0,0.24,81309.0,51.47,0.11
TTM,1024548.0,845908.0,178640.0,0.17,29420.0,26631.0,56359.0,125070.0,0.0,97776.0,61.49,0.0
