date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,10771.0,8753.0,2018.0,0.19,30.0,485.0,407.0,1157.0,0.19,957.0,13.13,0.18
2015-03-01,12091.0,9728.0,2363.0,0.2,-11.0,517.0,425.0,1410.0,0.17,1187.0,15.82,0.19
2016-03-01,14048.0,11700.0,2348.0,0.17,149.0,704.0,676.0,1117.0,0.15,952.0,13.0,0.23
2017-03-01,16312.0,13346.0,2966.0,0.18,363.0,735.0,672.0,1922.0,0.1,1733.0,20.18,0.2
2018-03-01,17378.0,13966.0,3412.0,0.2,351.0,783.0,675.0,2305.0,0.12,2030.0,23.57,0.2
2019-03-01,21837.0,18024.0,3813.0,0.17,-197.0,963.0,880.0,1773.0,0.11,1575.0,17.35,0.27
2020-03-01,35756.0,28984.0,6772.0,0.19,-515.0,1481.0,2012.0,2764.0,0.21,2178.0,20.66,0.26
2021-03-01,38694.0,30342.0,8352.0,0.22,62.0,2060.0,2173.0,4181.0,0.16,3495.0,33.4,0.27
2022-03-01,46240.0,36711.0,9529.0,0.21,91.0,2295.0,2359.0,4966.0,0.11,4437.0,42.18,0.21
2023-03-01,53576.0,43380.0,10196.0,0.19,464.0,2963.0,2547.0,5150.0,0.14,4414.0,42.28,0.21
2024-03-01,43098.0,38801.0,4297.0,0.1,231.0,3852.0,2763.0,-2087.0,-0.1,-1878.0,-14.21,-0.06
2025-03-01,46637.0,39509.0,7128.0,0.15,78.0,3627.0,2750.0,829.0,0.01,820.0,10.62,0.53
TTM,47715.0,39530.0,8185.0,0.17,470.0,3435.0,2895.0,2325.0,0.0,2368.0,25.94,0.0
