date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2015-03-01,2385.0,2132.0,253.0,0.11,58.0,232.0,47.0,31.0,0.34,20.0,0.99,0.81
2016-03-01,1848.0,1660.0,187.0,0.1,46.0,290.0,34.0,-90.0,0.01,-91.0,-4.41,-0.11
2017-03-01,1924.0,1647.0,276.0,0.14,27.0,368.0,32.0,-97.0,0.3,-127.0,-6.13,-0.11
2018-03-01,2662.0,2077.0,585.0,0.22,-105.0,413.0,30.0,38.0,0.07,35.0,1.7,0.59
2019-03-01,4430.0,2722.0,1708.0,0.39,45.0,489.0,30.0,1234.0,0.0,1228.0,60.12,0.02
2020-03-01,1895.0,1567.0,327.0,0.17,51.0,554.0,33.0,-209.0,-2.57,328.0,15.87,0.01
2021-03-01,1193.0,1167.0,26.0,0.02,90.0,588.0,34.0,-507.0,-0.07,-469.0,-22.71,0.0
2022-03-01,2001.0,1850.0,151.0,0.08,-129.0,524.0,33.0,-534.0,-0.14,-460.0,-22.29,0.0
2023-03-01,2674.0,2708.0,-35.0,-0.01,102.0,523.0,33.0,-489.0,0.06,-517.0,-25.02,0.0
2024-03-01,1688.0,1737.0,-49.0,-0.03,4057.0,326.0,31.0,3650.0,0.19,2949.0,142.77,0.01
2025-03-01,1605.0,1632.0,-26.0,-0.02,680.0,19.0,33.0,601.0,0.18,490.0,23.73,0.05
TTM,1514.0,1538.0,-24.0,-0.02,192.0,13.0,33.0,122.0,0.0,97.0,4.71,0.0
