date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,35306.0,22227.0,13080.0,0.37,966.0,29.0,965.0,13052.0,0.31,9001.0,7.45,0.54
2015-03-01,38817.0,24566.0,14252.0,0.37,1229.0,91.0,1028.0,14362.0,0.32,9779.0,8.04,0.52
2016-03-01,39192.0,24661.0,14531.0,0.37,1483.0,78.0,1077.0,14859.0,0.36,9501.0,7.74,0.73
2017-03-01,42768.0,27298.0,15470.0,0.36,1759.0,49.0,1153.0,16026.0,0.35,10477.0,8.47,0.56
2018-03-01,43449.0,26928.0,16521.0,0.38,2240.0,115.0,1236.0,17409.0,0.34,11493.0,9.24,0.56
2019-03-01,48340.0,29802.0,18537.0,0.38,2080.0,71.0,1397.0,19150.0,0.33,12836.0,10.27,0.56
2020-03-01,49388.0,30044.0,19344.0,0.39,2417.0,81.0,1645.0,20035.0,0.22,15593.0,12.45,0.82
2021-03-01,49257.0,32193.0,17065.0,0.35,2577.0,58.0,1646.0,17938.0,0.25,13383.0,10.69,1.01
2022-03-01,60645.0,40021.0,20623.0,0.34,1910.0,60.0,1732.0,20740.0,0.25,15503.0,12.37,0.93
2023-03-01,70919.0,45215.0,25704.0,0.36,2098.0,78.0,1809.0,25915.0,0.25,19477.0,15.44,1.0
2024-03-01,67932.0,42744.0,25188.0,0.37,3330.0,39.0,1518.0,26961.0,0.23,20751.0,16.39,0.84
2025-03-01,75323.0,49484.0,25839.0,0.34,17795.0,45.0,1646.0,41943.0,0.16,35052.0,27.77,0.52
TTM,79809.0,52896.0,26913.0,0.34,17203.0,67.0,1700.0,42350.0,0.0,35356.0,27.98,0.0
