date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2017-03-01,1608.0,1467.0,141.0,0.09,59.0,100.0,96.0,5.0,-2.36,16.0,0.29,0.0
2018-03-01,1729.0,1616.0,113.0,0.07,65.0,99.0,94.0,-15.0,0.65,-25.0,-0.47,0.0
2019-03-01,1691.0,1535.0,156.0,0.09,56.0,101.0,103.0,8.0,1.02,-0.0,-0.06,0.0
2020-03-01,1059.0,965.0,94.0,0.09,48.0,83.0,46.0,13.0,-0.01,59.0,1.1,0.0
2021-03-01,2505.0,2101.0,404.0,0.16,-119.0,179.0,174.0,-69.0,0.67,-138.0,-1.42,0.0
2022-03-01,3931.0,2986.0,946.0,0.24,115.0,101.0,221.0,739.0,0.18,605.0,6.24,0.0
2023-03-01,4563.0,3322.0,1241.0,0.27,139.0,84.0,232.0,1064.0,-0.04,1104.0,11.37,0.09
2024-03-01,5406.0,3914.0,1492.0,0.28,178.0,60.0,245.0,1365.0,0.23,1058.0,10.88,0.14
2025-03-01,7028.0,5180.0,1849.0,0.26,82.0,165.0,359.0,1406.0,0.24,1076.0,11.07,0.14
TTM,8140.0,5992.0,2148.0,0.26,113.0,224.0,424.0,1614.0,0.0,1419.0,14.59,0.0
