date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,6518.0,5593.0,925.0,0.14,438.0,7.0,150.0,1206.0,0.21,952.0,1.2,0.2
2015-03-01,7093.0,5913.0,1179.0,0.17,507.0,7.0,166.0,1513.0,0.21,1197.0,1.51,0.2
2016-03-01,7354.0,5961.0,1393.0,0.19,573.0,10.0,192.0,1764.0,0.24,1337.0,1.69,0.31
2017-03-01,8656.0,6864.0,1792.0,0.21,420.0,18.0,212.0,1983.0,0.24,1523.0,2.07,0.33
2018-03-01,10401.0,8361.0,2039.0,0.2,196.0,6.0,272.0,1957.0,0.28,1431.0,1.96,0.34
2019-03-01,12164.0,9255.0,2909.0,0.24,73.0,16.0,338.0,2628.0,0.3,1887.0,2.58,0.44
2020-03-01,12968.0,10209.0,2759.0,0.21,99.0,8.0,372.0,2478.0,0.28,1825.0,2.5,0.37
2021-03-01,14109.0,10895.0,3214.0,0.23,125.0,10.0,387.0,2942.0,0.3,2100.0,2.87,0.46
2022-03-01,15368.0,12024.0,3344.0,0.22,232.0,9.0,401.0,3166.0,0.26,2400.0,3.28,0.46
2023-03-01,17734.0,13645.0,4090.0,0.23,281.0,19.0,429.0,3923.0,0.25,2986.0,4.08,0.44
2024-03-01,20268.0,15217.0,5051.0,0.25,670.0,12.0,443.0,5266.0,0.25,3985.0,5.45,0.4
2025-03-01,23769.0,16932.0,6837.0,0.29,742.0,13.0,467.0,7099.0,0.26,5323.0,7.28,0.33
TTM,26535.0,18652.0,7884.0,0.3,650.0,11.0,520.0,8003.0,0.0,5963.0,8.16,0.0
