date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,7738.0,6986.0,752.0,0.1,170.0,87.0,129.0,707.0,0.26,510.0,7.48,0.29
2015-03-01,7993.0,7201.0,792.0,0.1,-77.0,82.0,133.0,500.0,0.43,273.0,3.86,0.06
2016-03-01,6637.0,6271.0,366.0,0.06,38.0,117.0,117.0,170.0,1.18,-37.0,-0.08,-25.72
2017-03-01,6780.0,5988.0,791.0,0.12,88.0,92.0,126.0,662.0,0.3,455.0,5.94,0.38
2018-03-01,6815.0,5976.0,839.0,0.12,73.0,43.0,116.0,753.0,0.25,556.0,7.56,0.3
2019-03-01,7252.0,6466.0,786.0,0.11,124.0,52.0,123.0,735.0,0.36,457.0,6.23,0.39
2020-03-01,9637.0,8345.0,1292.0,0.13,-163.0,78.0,242.0,809.0,0.34,460.0,4.8,0.54
2021-03-01,11602.0,10058.0,1544.0,0.13,91.0,69.0,255.0,1311.0,0.24,930.0,8.95,0.44
2022-03-01,12425.0,10707.0,1719.0,0.14,88.0,73.0,278.0,1456.0,0.26,1015.0,9.78,0.6
2023-03-01,13783.0,11927.0,1856.0,0.13,328.0,87.0,304.0,1794.0,0.25,1320.0,12.48,0.65
2024-03-01,15206.0,12922.0,2284.0,0.15,-81.0,130.0,377.0,1696.0,0.23,1215.0,11.63,0.64
2025-03-01,17618.0,15139.0,2479.0,0.14,188.0,290.0,601.0,1777.0,0.22,1287.0,12.92,0.64
TTM,19465.0,16845.0,2620.0,0.13,191.0,139.0,615.0,2058.0,0.0,1472.0,14.85,0.0
