date,Revenue ,Interest,Expenses ,FinancingProfit,FinancingMargin%,OtherIncome ,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,7006.0,4728.0,1664.0,614.0,0.09,685.0,98.0,1202.0,0.31,850.0,4.97,0.2
2015-03-01,7488.0,5056.0,1701.0,731.0,0.1,879.0,79.0,1530.0,0.34,1058.0,6.17,0.18
2016-03-01,7826.0,5259.0,2529.0,38.0,0.0,808.0,108.0,739.0,0.34,486.0,2.83,0.25
2017-03-01,8783.0,5653.0,2749.0,382.0,0.04,1084.0,124.0,1342.0,0.36,867.0,5.03,0.18
2018-03-01,9915.0,6226.0,3331.0,358.0,0.04,1160.0,125.0,1393.0,0.35,935.0,4.74,0.21
2019-03-01,11635.0,7316.0,3572.0,747.0,0.06,1335.0,122.0,1960.0,0.35,1318.0,6.63,0.21
2020-03-01,13590.0,8678.0,4608.0,304.0,0.02,1882.0,126.0,2060.0,0.25,1590.0,7.93,0.0
2021-03-01,14314.0,8435.0,5527.0,352.0,0.02,1972.0,115.0,2209.0,0.25,1680.0,8.34,0.08
2022-03-01,14382.0,7959.0,5758.0,664.0,0.05,2121.0,139.0,2646.0,0.26,1996.0,9.37,0.19
2023-03-01,17812.0,9975.0,5828.0,2009.0,0.11,2436.0,182.0,4263.0,0.26,3210.0,14.95,0.07
2024-03-01,23565.0,14495.0,6792.0,2278.0,0.1,3216.0,234.0,5261.0,0.25,3964.0,15.93,0.08
2025-03-01,28106.0,17631.0,8523.0,1952.0,0.07,3924.0,288.0,5588.0,0.25,4234.0,16.93,0.07
TTM,28835.0,17826.0,9885.0,1124.0,0.04,4460.0,0.0,5583.0,0.0,4219.0,16.65,0.0
