date,Revenue ,Interest,Expenses ,FinancingProfit,FinancingMargin%,OtherIncome ,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,189062.0,121479.0,82198.0,-14614.0,-0.08,37882.0,1942.0,21326.0,0.32,14807.0,18.99,0.16
2015-03-01,207974.0,133179.0,96675.0,-21879.0,-0.11,49315.0,1581.0,25855.0,0.32,17832.0,22.76,0.15
2016-03-01,220633.0,143047.0,109985.0,-32399.0,-0.15,52828.0,2252.0,18177.0,0.3,13019.0,15.75,0.17
2017-03-01,230447.0,149115.0,145666.0,-64334.0,-0.28,68193.0,2915.0,945.0,1.41,-97.0,0.3,8.59
2018-03-01,228970.0,146603.0,169065.0,-86697.0,-0.38,77557.0,3105.0,-12245.0,-0.66,-3749.0,-5.11,0.0
2019-03-01,253322.0,155867.0,166104.0,-68649.0,-0.27,77365.0,3496.0,5220.0,0.41,3351.0,2.58,0.0
2020-03-01,269852.0,161124.0,172909.0,-64181.0,-0.24,98159.0,3662.0,30317.0,0.4,21140.0,22.15,0.0
2021-03-01,278115.0,156010.0,192821.0,-70715.0,-0.25,107222.0,3711.0,32796.0,0.26,23888.0,25.11,0.16
2022-03-01,289973.0,156194.0,197349.0,-63570.0,-0.22,117000.0,3691.0,49739.0,0.27,37183.0,39.64,0.18
2023-03-01,350845.0,189981.0,204303.0,-43439.0,-0.12,122534.0,3696.0,75399.0,0.25,57750.0,62.35,0.18
2024-03-01,439189.0,259736.0,239750.0,-60297.0,-0.14,155386.0,3849.0,91240.0,0.25,69543.0,75.17,0.18
2025-03-01,490938.0,300943.0,252043.0,-62049.0,-0.13,172406.0,3991.0,106365.0,0.26,80523.0,86.91,0.18
TTM,511356.0,313278.0,282999.0,-84922.0,-0.17,199771.0,0.0,114849.0,0.0,86537.0,91.71,0.0
