date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,10927.0,9880.0,1047.0,0.1,117.0,87.0,68.0,1010.0,0.27,735.0,8.28,0.25
2015-03-01,11913.0,10761.0,1153.0,0.1,67.0,81.0,90.0,1049.0,0.22,816.0,9.19,0.25
2016-03-01,11276.0,10337.0,939.0,0.08,69.0,42.0,98.0,868.0,0.22,675.0,7.6,0.29
2017-03-01,13261.0,12097.0,1164.0,0.09,-42.0,38.0,111.0,973.0,0.28,697.0,8.01,0.32
2018-03-01,16120.0,14476.0,1644.0,0.1,70.0,53.0,131.0,1530.0,0.28,1102.0,12.73,0.29
2019-03-01,19779.0,17785.0,1994.0,0.1,178.0,53.0,163.0,1957.0,0.29,1389.0,15.82,0.32
2020-03-01,21052.0,18589.0,2463.0,0.12,153.0,166.0,348.0,2102.0,0.29,1493.0,16.91,0.24
2021-03-01,21644.0,19919.0,1725.0,0.08,180.0,203.0,375.0,1327.0,0.27,974.0,10.96,0.37
2022-03-01,28799.0,25455.0,3344.0,0.12,177.0,218.0,399.0,2904.0,0.24,2198.0,24.48,0.31
2023-03-01,40575.0,35693.0,4882.0,0.12,306.0,300.0,441.0,4447.0,0.26,3274.0,36.61,0.27
2024-03-01,51084.0,45792.0,5292.0,0.1,534.0,619.0,584.0,4623.0,0.24,3496.0,39.38,0.28
2025-03-01,60456.0,54762.0,5694.0,0.09,487.0,953.0,693.0,4535.0,0.26,3337.0,37.59,0.29
TTM,67904.0,60988.0,6916.0,0.1,462.0,1031.0,731.0,5616.0,0.0,4129.0,46.51,0.0
