date,Revenue ,Interest,Expenses ,FinancingProfit,FinancingMargin%,OtherIncome ,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,30736.0,18703.0,9944.0,2089.0,0.07,7766.0,375.0,9479.0,0.33,6311.0,26.86,0.15
2015-03-01,35727.0,21341.0,11521.0,2865.0,0.08,8838.0,420.0,11283.0,0.34,7450.0,31.42,0.15
2016-03-01,41409.0,24344.0,13869.0,3196.0,0.08,9955.0,461.0,12690.0,0.34,8358.0,35.04,0.14
2017-03-01,45175.0,26789.0,24327.0,-5941.0,-0.13,12422.0,527.0,5954.0,0.33,3967.0,16.51,0.3
2018-03-01,46614.0,27604.0,29717.0,-10706.0,-0.23,11863.0,591.0,566.0,0.18,464.0,1.78,0.0
2019-03-01,56044.0,33883.0,28020.0,-5860.0,-0.1,14189.0,737.0,7592.0,0.34,5047.0,19.59,0.05
2020-03-01,63716.0,37996.0,35976.0,-10256.0,-0.16,16342.0,806.0,5280.0,0.64,1879.0,6.57,0.0
2021-03-01,64397.0,34627.0,32621.0,-2851.0,-0.04,13577.0,976.0,9750.0,0.26,7252.0,23.49,0.0
2022-03-01,68846.0,34923.0,31216.0,2707.0,0.04,17268.0,1046.0,18929.0,0.25,14207.0,45.99,0.02
2023-03-01,87448.0,43389.0,30641.0,13418.0,0.15,18349.0,13146.0,18621.0,0.42,10919.0,35.16,0.03
2024-03-01,112759.0,61391.0,40036.0,11333.0,0.1,25230.0,1385.0,35178.0,0.25,26492.0,85.49,0.01
2025-03-01,127374.0,71036.0,46395.0,9943.0,0.08,28543.0,1763.0,36722.0,0.23,28191.0,90.58,0.01
TTM,130820.0,73116.0,52970.0,4733.0,0.04,30208.0,0.0,34941.0,0.0,26415.0,84.66,0.0
