date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,18802.0,14630.0,4172.0,0.22,244.0,80.0,522.0,3815.0,0.2,3062.0,32.44,0.15
2015-03-01,22621.0,18428.0,4193.0,0.19,106.0,69.0,611.0,3618.0,0.27,2659.0,27.35,0.22
2016-03-01,26494.0,22234.0,4260.0,0.16,453.0,97.0,759.0,3857.0,0.22,3027.0,30.92,0.35
2017-03-01,29141.0,24956.0,4184.0,0.14,775.0,129.0,978.0,3853.0,0.26,2851.0,28.88,0.28
2018-03-01,30773.0,26063.0,4710.0,0.15,1417.0,162.0,1085.0,4879.0,0.22,3786.0,38.78,0.33
2019-03-01,34742.0,28471.0,6271.0,0.18,534.0,133.0,1129.0,5543.0,0.23,4289.0,43.7,0.29
2020-03-01,36868.0,31365.0,5503.0,0.15,1192.0,192.0,1446.0,5058.0,0.23,3897.0,41.76,0.32
2021-03-01,37855.0,31059.0,6796.0,0.18,788.0,174.0,1458.0,5953.0,0.27,4353.0,45.73,0.89
2022-03-01,44646.0,36626.0,8020.0,0.18,1115.0,163.0,1520.0,7452.0,0.24,5630.0,57.27,0.47
2023-03-01,53290.0,45527.0,7763.0,0.15,965.0,326.0,1957.0,6446.0,0.25,4857.0,49.6,0.91
2024-03-01,51996.0,47489.0,4506.0,0.09,927.0,392.0,1817.0,3224.0,0.26,2397.0,24.14,1.5
2025-03-01,52988.0,46024.0,6964.0,0.13,864.0,322.0,1853.0,5653.0,0.25,4253.0,43.43,0.94
TTM,55123.0,46818.0,8305.0,0.15,138.0,334.0,1863.0,6247.0,0.0,4591.0,47.21,0.0
