date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,12220.0,10217.0,2004.0,0.16,124.0,48.0,246.0,1834.0,0.31,1263.0,12.71,0.42
2015-03-01,13615.0,11372.0,2243.0,0.16,142.0,42.0,266.0,2077.0,0.31,1427.0,14.54,0.42
2016-03-01,14271.0,11546.0,2725.0,0.19,213.0,49.0,276.0,2614.0,0.32,1803.0,18.19,0.41
2017-03-01,15062.0,12068.0,2994.0,0.2,338.0,37.0,335.0,2960.0,0.32,2016.0,20.22,0.51
2018-03-01,16825.0,13621.0,3204.0,0.19,336.0,41.0,360.0,3138.0,0.33,2098.0,21.26,0.41
2019-03-01,19240.0,15475.0,3765.0,0.2,274.0,110.0,622.0,3306.0,0.33,2208.0,22.48,0.47
2020-03-01,20211.0,16044.0,4167.0,0.21,350.0,108.0,780.0,3629.0,0.24,2774.0,28.2,0.43
2021-03-01,21713.0,16857.0,4856.0,0.22,332.0,92.0,791.0,4304.0,0.26,3207.0,32.73,0.55
2022-03-01,29101.0,24298.0,4804.0,0.17,296.0,95.0,816.0,4188.0,0.26,3085.0,31.59,0.61
2023-03-01,34489.0,28229.0,6260.0,0.18,431.0,144.0,858.0,5689.0,0.26,4195.0,42.81,0.6
2024-03-01,35495.0,27910.0,7585.0,0.21,821.0,205.0,853.0,7348.0,0.24,5558.0,56.92,0.58
2025-03-01,33906.0,27899.0,6006.0,0.18,350.0,227.0,1026.0,5103.0,0.27,3710.0,38.23,0.65
TTM,34696.0,28350.0,6346.0,0.18,475.0,189.0,1220.0,5412.0,0.0,3910.0,40.1,0.0
