date,Revenue ,Interest,Expenses ,FinancingProfit,FinancingMargin%,OtherIncome ,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,11986.0,6312.0,7053.0,-1379.0,-0.12,5282.0,208.0,3695.0,0.32,2527.0,3.2,0.02
2015-03-01,13319.0,6966.0,9718.0,-3366.0,-0.25,8152.0,237.0,4550.0,0.33,3105.0,3.94,0.02
2016-03-01,20402.0,11123.0,11541.0,-2263.0,-0.11,7631.0,345.0,5024.0,0.32,3524.0,3.77,0.03
2017-03-01,22324.0,11458.0,14832.0,-3965.0,-0.18,11660.0,362.0,7332.0,0.32,5019.0,5.37,0.02
2018-03-01,25131.0,12467.0,16805.0,-4141.0,-0.16,13682.0,383.0,9158.0,0.33,6258.0,6.51,0.02
2019-03-01,29831.0,15187.0,19758.0,-5114.0,-0.17,16148.0,458.0,10576.0,0.33,7204.0,7.55,0.02
2020-03-01,33474.0,15901.0,22578.0,-5005.0,-0.15,16892.0,465.0,11422.0,0.25,8593.0,8.98,0.0
2021-03-01,32820.0,12967.0,29812.0,-9958.0,-0.3,23588.0,461.0,13168.0,0.25,9990.0,10.08,0.02
2022-03-01,33741.0,11554.0,30699.0,-8512.0,-0.25,24941.0,480.0,15948.0,0.25,12089.0,12.18,0.02
2023-03-01,42151.0,14411.0,33485.0,-5746.0,-0.14,25991.0,599.0,19646.0,0.25,14925.0,15.03,0.02
2024-03-01,56237.0,22567.0,47052.0,-13382.0,-0.24,38037.0,792.0,23863.0,0.25,18213.0,18.32,0.02
2025-03-01,65669.0,28275.0,48891.0,-11496.0,-0.18,41426.0,941.0,28989.0,0.24,22126.0,22.26,0.02
TTM,68726.0,29404.0,52326.0,-13004.0,-0.19,37905.0,0.0,24901.0,0.0,18798.0,18.9,0.0
